1.23.84.0/22,1269750.0,1269750.0,,0,0,,21.9974,79.0011,1000.0,,en,AS,Asia,IN,India,,,,,,,Asia/Kolkata,0.0
1.23.88.0/22,1275339.0,1269750.0,,0,0,400070,19.0748,72.8856,100.0,,en,AS,Asia,IN,India,MH,Maharashtra,,,Mumbai,,Asia/Kolkata,0.0
1.23.92.0/22,1269750.0,1269750.0,,0,0,,21.9974,79.0011,1000.0,,en,AS,Asia,IN,India,,,,,,,Asia/Kolkata,0.0
1.23.96.0/20,1273294.0,1269750.0,,0,0,110008,28.6542,77.2373,20.0,,en,AS,Asia,IN,India,DL,National Capital Territory of Delhi,,,Delhi,,Asia/Kolkata,0.0
1.23.112.0/22,1267995.0,1269750.0,,0,0,208005,26.4969,80.3246,50.0,,en,AS,Asia,IN,India,UP,Uttar Pradesh,,,Kanpur,,Asia/Kolkata,0.0
1.23.116.0/24,1278994.0,1269750.0,,0,0,211008,25.4425,81.8517,50.0,,en,AS,Asia,IN,India,UP,Uttar Pradesh,,,Prayagraj,,Asia/Kolkata,0.0
1.23.117.0/24,1278994.0,1269750.0,,0,0,211008,25.4425,81.8517,100.0,,en,AS,Asia,IN,India,UP,Uttar Pradesh,,,Prayagraj,,Asia/Kolkata,0.0
1.23.118.0/23,1278994.0,1269750.0,,0,0,211008,25.4425,81.8517,100.0,,en,AS,Asia,IN,India,UP,Uttar Pradesh,,,Prayagraj,,Asia/Kolkata,0.0
1.23.120.0/21,1269750.0,1269750.0,,0,0,,21.9974,79.0011,1000.0,,en,AS,Asia,IN,India,,,,,,,Asia/Kolkata,0.0
1.23.128.0/23,1255364.0,1269750.0,,0,0,395007,21.1888,72.8293,5.0,,en,AS,Asia,IN,India,GJ,Gujarat,,,Surat,,Asia/Kolkata,0.0
1.23.130.0/23,1269750.0,1269750.0,,0,0,,21.9974,79.0011,1000.0,,en,AS,Asia,IN,India,,,,,,,Asia/Kolkata,0.0
